City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,puerto natales,-51.7236,-72.4875,275.29,76,68,8.09,CL,1727232128
1,olonkinbyen,70.9221,-8.7187,274.13,78,36,7.65,SJ,1727232243
2,waitangi,-43.9535,-176.5597,282.49,77,28,6.26,NZ,1727232244
3,blackmans bay,-43.0167,147.3167,286.33,49,100,0.89,AU,1727232244
4,bilibino,68.0546,166.4372,272.86,66,100,0.61,RU,1727232244
5,mar del plata,-38.0023,-57.5575,285.9,82,95,4.47,AR,1727231789
6,vadso,70.0744,29.7487,280.24,76,40,2.06,NO,1727232244
7,jiayuguan,39.8167,98.3,293.8,33,53,1.01,CN,1727232244
8,dalian,38.9122,121.6022,298.11,50,0,2.0,CN,1727232244
9,port mathurin,-19.6833,63.4167,295.32,75,1,9.33,MU,1727232244
10,ust-nera,64.5667,143.2,274.97,68,91,4.84,RU,1727232244
11,gijon,43.5357,-5.6615,291.18,91,100,0.45,ES,1727232222
12,bairnsdale,-37.8333,147.6167,285.96,89,100,4.02,AU,1727232244
13,turkmenbasy,40.0222,52.9552,293.58,77,20,5.14,TM,1727232245
14,ribeira grande,38.5167,-28.7,296.91,95,100,8.49,PT,1727232245
15,taltal,-25.4,-70.4833,288.73,69,0,1.04,CL,1727232245
16,olyokminsk,60.3736,120.4264,287.37,62,84,3.05,RU,1727232245
17,bethel,41.3712,-73.414,289.23,83,75,2.06,US,1727232121
18,grytviken,-54.2811,-36.5092,272.79,94,100,4.88,GS,1727232245
19,porto-vecchio,41.591,9.2795,287.96,94,0,1.03,FR,1727231948
20,adamstown,-25.066,-130.1015,292.79,71,98,8.2,PN,1727232245
21,katsuura,35.1333,140.3,295.24,84,96,11.05,JP,1727232246
22,kill devil hills,36.0307,-75.676,295.36,86,40,4.63,US,1727232246
23,along,28.1667,94.7667,294.65,98,100,0.21,IN,1727232246
24,antigonish,45.6169,-61.9986,287.57,84,93,3.48,CA,1727231991
25,badger,64.8,-147.5333,280.57,86,100,3.6,US,1727232246
26,port-aux-francais,-49.35,70.2167,275.6,68,59,10.86,TF,1727232246
27,qalat,32.1058,66.9083,296.91,13,0,0.64,AF,1727232246
28,ushuaia,-54.8,-68.3,271.96,93,100,11.83,AR,1727232008
29,georgetown,5.4112,100.3354,303.12,74,20,0.51,MY,1727232246
30,west island,-12.1568,96.8225,301.14,83,40,7.2,CC,1727232246
31,aasiaat,68.7098,-52.8699,275.08,82,45,3.15,GL,1727232247
32,albany,42.6001,-73.9662,288.5,69,100,0.45,US,1727232247
33,colonia,50.9333,6.95,288.69,89,40,2.57,DE,1727232247
34,whitehorse,60.7161,-135.0538,283.16,66,75,4.63,CA,1727232247
35,kapa'a,22.0752,-159.319,301.33,72,40,6.17,US,1727232247
36,magadan,59.5667,150.8,280.22,45,2,4.47,RU,1727232247
37,udachny,66.4167,112.4,280.4,61,15,6.73,RU,1727232247
38,forster,-32.1667,152.5167,301.14,41,94,5.17,AU,1727232247
39,isafjordur,66.0755,-23.124,273.72,78,99,6.09,IS,1727232247
40,arraial do cabo,-22.9661,-42.0278,297.07,83,20,9.26,BR,1727232247
41,stanley,54.868,-1.6985,278.43,95,20,2.06,GB,1727232248
42,ilulissat,69.2167,-51.1,276.16,75,100,0.0,GL,1727232248
43,hermanus,-34.4187,19.2345,284.71,86,100,0.99,ZA,1727232248
44,luderitz,-26.6481,15.1594,285.64,90,29,3.56,NA,1727232248
45,misratah,32.3754,15.0925,297.71,72,6,2.88,LY,1727232248
46,kapit,2.0167,112.9333,297.36,97,100,0.29,MY,1727232248
47,borkum,53.5809,6.6915,287.45,77,96,10.68,DE,1727232248
48,rawah,34.4816,41.9093,297.73,37,0,0.74,IQ,1727232248
49,kirillov,59.863,38.3813,280.78,75,58,2.86,RU,1727232248
50,buka,40.8108,69.1986,296.28,22,0,1.01,UZ,1727232249
51,kharan,28.5833,65.4167,302.13,20,44,1.02,PK,1727232249
52,iqaluit,63.7506,-68.5145,278.0,86,75,3.6,CA,1727232249
53,marsh harbour,26.5412,-77.0636,301.31,71,100,7.59,BS,1727232249
54,ambasamudram,8.7,77.4667,303.07,60,90,4.68,IN,1727232249
55,puerto leguizamo,-0.1934,-74.7819,296.02,81,33,1.4,CO,1727232249
56,college,64.8569,-147.8028,280.62,80,75,3.6,US,1727232249
57,lihue,21.9789,-159.3672,300.92,71,40,6.17,US,1727232249
58,rumonge,-3.9736,29.4386,296.9,47,99,0.81,BI,1727232249
59,vernon,50.2581,-119.2691,296.9,59,20,1.03,CA,1727232250
60,villa gesell,-37.2639,-56.973,284.51,76,87,4.2,AR,1727232250
61,barcelos,41.5388,-8.6151,289.76,90,100,1.39,PT,1727232080
62,saipan,15.1355,145.701,303.54,79,40,5.14,MP,1727232250
63,cabo san lucas,22.8909,-109.9124,301.32,57,0,5.14,MX,1727232135
64,bac lieu,9.285,105.7244,302.88,66,7,1.25,VN,1727232250
65,klyuchi,52.2667,79.1667,279.8,54,2,3.84,RU,1727232250
66,mostovskoy,44.4122,40.7936,285.47,73,52,0.97,RU,1727232250
67,thompson,55.7435,-97.8558,284.24,100,75,1.54,CA,1727232135
68,hawaiian paradise park,19.5933,-154.9731,300.88,77,0,3.6,US,1727232250
69,papatowai,-46.5619,169.4708,285.93,44,97,2.34,NZ,1727232251
70,rutana,-3.8667,30.1,291.24,38,100,0.37,BI,1727232251
71,bumba,2.1833,22.4667,294.11,98,98,1.26,CD,1727232251
72,pacific grove,36.6177,-121.9166,289.21,91,20,2.57,US,1727231978
73,trairi,-3.2778,-39.2689,297.99,83,5,5.96,BR,1727232132
74,belmonte,-15.8631,-38.8828,295.34,86,1,1.86,BR,1727232251
75,ujae,8.9322,165.7642,302.12,73,19,3.69,MH,1727232251
76,bredasdorp,-34.5322,20.0403,284.63,94,100,0.71,ZA,1727232251
77,tecumseh,42.0039,-83.9449,292.21,93,0,1.54,US,1727232251
78,saint-philippe,-21.3585,55.7679,294.46,78,48,4.36,RE,1727232252
79,arteche,12.2645,125.4048,303.41,70,77,2.38,PH,1727232252
80,taradale,-39.5333,176.85,287.05,63,9,3.58,NZ,1727232252
81,iskateley,67.6803,53.1512,272.4,77,83,1.38,RU,1727232252
82,puerto ayora,-0.7393,-90.3518,292.9,94,86,1.34,EC,1727232252
83,bantogon,6.5333,124.0333,301.17,74,100,2.19,PH,1727232252
84,tiksi,71.6872,128.8694,273.21,98,100,8.18,RU,1727232252
85,pontes e lacerda,-15.2261,-59.3353,301.19,27,1,1.06,BR,1727232252
86,tazovsky,67.4667,78.7,275.6,95,100,5.91,RU,1727232252
87,qaryat suluq,31.6682,20.2521,296.85,83,2,2.3,LY,1727232252
